Adana; 15
CHP; 22.79; 2
IYIP; 15.97; 1
MHP; 9.08; 1
MP; 3.32; 0
BBP; 2.06; 0
ZP; 1.98; 0
YRP; 1.85; 0
YSP; 1.39; 0
TIP; 1.37; 0

Siirt; 3
YSP; 47.55; 2
AKP; 35.22; 1
CHP; 8.92; 0
MHP; 2.93; 0
IYIP; 1.83; 0
YRP; 1.38; 0
BBP; 1.28; 0
MP; 0.49; 0
ZP; 0.41; 0

Sinop; 2
AKP; 41.15; 1
CHP; 27.57; 1
IYIP; 14.43; 0
MP; 4.42; 0
MHP; 4.20; 0
YRP; 1.96; 0
TIP; 1.91; 0
BBP; 1.90; 0
YSP; 1.47; 0
ZP; 1.00; 0

Sivas; 5
AKP; 43.49; 3
CHP; 19.29; 1
MHP; 12.67; 1
IYIP; 12.45; 0
MP; 2.81; 0
BBP; 2.23; 0
ZP; 2.16; 0
YRP; 1.96; 0
YSP; 1.73; 0
TIP; 1.22; 0

Sanliurfa; 14
AKP; 47.42; 8
YSP; 26.35; 4
CHP; 10.18; 1
MHP; 7.66; 1
IYIP; 2.88; 0
BBP; 1.88; 0
YRP; 1.88; 0
ZP; 1.02; 0
MP; 0.72; 0

Sirnak; 4
YSP; 67.50; 3
AKP; 17.88; 1
CHP; 6.96; 0
MHP; 3.28; 0
IYIP; 2.06; 0
BBP; 0.67; 0
YRP; 0.64; 0
MP; 0.53; 0
ZP; 0.47; 0

Tekirdag; 7
CHP; 38.35; 4
AKP; 22.71; 2
IYIP; 17.46; 1
MP; 6.79; 0
YSP; 4.40; 0
MHP; 3.61; 0
TIP; 3.08; 0
BBP; 1.27; 0
YRP; 1.23; 0
ZP; 1.09; 0

Tokat; 5
AKP; 37.82; 3
CHP; 24.54; 1
IYIP; 15.25; 1
MHP; 9.64; 0
MP; 3.81; 0
BBP; 2.00; 0
ZP; 1.95; 0
YRP; 1.77; 0
TIP; 1.63; 0
YSP; 1.58; 0

Trabzon; 6
AKP; 43.88; 3
CHP; 21.98; 2
IYIP; 15.51; 1
MHP; 7.56; 0
MP; 2.97; 0
BBP; 2.10; 0
YRP; 2.03; 0
ZP; 1.71; 0
TIP; 1.19; 0
YSP; 1.07; 0

Tunceli; 2
YSP; 43.01; 1
CHP; 30.60; 1
AKP; 10.97; 0
IYIP; 4.91; 0
MP; 4.39; 0
MHP; 4.35; 0
ZP; 0.64; 0
BBP; 0.61; 0
YRP; 0.52; 0

Usak; 3
CHP; 31.75; 1
AKP; 30.84; 1
IYIP; 18.01; 1
MP; 5.19; 0
MHP; 5.10; 0
YSP; 2.26; 0
TIP; 2.24; 0
BBP; 1.63; 0
YRP; 1.55; 0
ZP; 1.43; 0

Van; 8
YSP; 55.33; 5
AKP; 27.52; 2
CHP; 11.59; 1
MHP; 2.56; 0
YRP; 1.12; 0
BBP; 1.04; 0
MP; 0.48; 0
ZP; 0.35; 0

Yalova; 3
CHP; 31.79; 2
AKP; 31.47; 1
IYIP; 14.96; 0
YSP; 5.73; 0
MP; 5.14; 0
MHP; 4.32; 0
TIP; 2.39; 0
YRP; 1.57; 0
BBP; 1.57; 0
ZP; 1.07; 0

Yozgat; 4
AKP; 42.73; 2
IYIP; 29.97; 1
MHP; 16.16; 1
ZP; 2.74; 0
BBP; 2.33; 0
MP; 2.21; 0
YRP; 1.87; 0
YSP; 1.07; 0
TIP; 0.91; 0

Zonguldak; 5
AKP; 32.67; 2
CHP; 31.89; 2
IYIP; 14.99; 1
MHP; 6.53; 0
MP; 5.44; 0
TIP; 2.41; 0
BBP; 1.72; 0
YRP; 1.66; 0
ZP; 1.34; 0
YSP; 1.34; 0

